,Director,Country,Birth year
333,Makoto Shinkai,Japon,1973
334,Nitesh Tiwari,India,1973
335,Bob Persichetti,Estados Unidos,1971
336,Anthony Russo,Estados Unidos,1970
337,Lee Unkrich,Estados Unidos,1967
338,Rajkumar Hirani,India,1962
339,Aamir Khan,India,1965
340,Andrew Stanton,Estados Unidos,1965
341,Florian Henckel von Donnersmarck,Alemania,1973
342,Chan-wook Park,Corea del Sur,1963
343,Stanley Kubrick,Estados Unidos,1928
344,Hrishikesh Mukherjee,India,1922
345,Billy Wilder,Austria,1906
346,Sam Mendes,Inglaterra,1965
347,Rahi Anil Barve,India,1982
348,Sriram Raghavan,India,1963
349,Jeethu Joseph,India,1972
350,Thomas Vinterberg,Dinamarca,1969
351,Asghar Farhadi,Irán,1972
352,Denis Villeneuve,Canadá,1967
353,Mehmet Ada Öztekin,Turquía,1971
354,Çagan Irmak,Turquía,1970
355,Michel Gondry,Francia,1963
356,Jean-Pierre Jeunet,Francia,1953
357,Guy Ritchie,Inglaterra,1968
358,Darren Aronofsky,Estados Unidos,1969
359,Gus Van Sant,Estados Unidos,1952
360,Majid Majidi,Irán,1959
361,John Lasseter,Estados Unidos,1957
362,Mel Gibson,Australia,1956
363,Elem Klimov,Rusia,1933
364,Brian De Palma,Estados Unidos,1940
365,Richard Marquand,Inglaterra,1937
366,Wolfgang Petersen,Alemania,1941
367,George Roy Hill,Estados Unidos,1921
368,David Lean,Inglaterra,1908
369,Stanley Donen,Inglaterra,1924
370,Vittorio De Sica,Italia,1901
371,Orson Welles,Estados Unidos,1915
372,Fritz Lang,Alemania,1890
373,Aditya Dhar,India,1983
374,Prashanth Neel,India,1983
375,Peter Farrelly,Estados Unidos,1956
376,Martin McDonagh,Irlanda,1970
377,Meghna Gulzar,India,1976
378,S.S. Rajamouli,India,1973
379,Sergio Pablos,España,1974
380,Nishikant Kamat,India,1970
381,Vikas Bahl,India,1971
382,Zaza Urushadze,Georgia,1966
383,Rakeysh Omprakash Mehra,India,1963
384,Anurag Kashyap,India,1972
385,Vikramaditya Motwane,India,1976
386,Tigmanshu Dhulia,India,1965
387,Juan José Campanella,Argentina,1959
388,Gavin O'Connor,Estados Unidos,1962
389,Pete Docter,Estados Unidos,1968
390,Shimit Amin,India,1966
391,Paul Thomas Anderson,Estados Unidos,1970
392,Guillermo del Toro,México,1964
393,James McTeigue,Australia,1967
394,Sanjay Leela Bhansali,India,1963
395,Ashutosh Gowariker,India,1964
396,Oliver Hirschbiegel,Alemania,1957
397,Ron Howard,Estados Unidos,1954
398,Priyadarshan,India,1957
399,Curtis Hanson,Estados Unidos,1945
400,Yavuz Turgul,Turquía,1956
401,Michael Mann,Estados Unidos,1943
402,Rajkumar Santoshi,India,1959
403,Clint Eastwood,Estados Unidos,1930
404,Emir Kusturica,Serbia,1954
405,John McTiernan,Estados Unidos,1951
406,Andrei Tarkovsky,Rusia,1932
407,Ingmar Bergman,Suecia,1918
408,Moustapha Akkad,Siria,1930
409,Ramesh Sippy,India,1947
410,Terry Gilliam,Estados Unidos,1940
411,John Sturges,Estados Unidos,1910
412,Robert Mulligan,Estados Unidos,1925
413,Stanley Kramer,Estados Unidos,1913
414,Jules Dassin,Estados Unidos,1911
415,Yasujirô Ozu,Japon,1903
416,Joseph L. Mankiewicz,Estados Unidos,1909
417,John Huston,Estados Unidos,1906
418,Ernst Lubitsch,Alemania,1892
419,Buster Keaton,Estados Unidos,1895
420,Céline Sciamma,Francia,1978
421,Aniruddha Roy Chowdhury,India,1965
